,date/time,match,league,sport,bet365,betfair,st
327,2019-10-30 17:50:00+00:00,Wolverhampton 1m Hcap,Wolverhampton,Horse Racing,False,True,
328,2019-10-30 17:51:00+00:00,Palm Beach. Win or Each Way,Palm Beach,Greyhounds racing,False,True,
329,2019-10-30 17:54:00+00:00,Monmore D4 264m,Other,Greyhounds racing,False,True,
330,2019-10-30 17:56:00+00:00,BVue 30th Oct,Other,Greyhounds racing,False,True,
331,2019-10-30 17:57:00+00:00,Valparaiso Win Each Way,Valparaiso Win Each Way ,Horse Racing,False,True,
332,2019-10-30 18:00:00+00:00,KK Buducnost v EWE Baskets Oldenburg,Euro Cup,Basketball,False,True,
333,2019-10-30 18:00:00+00:00,BC Zalgiris Kaunas v Zenit St Petersburg,Euroleague,Basketball,False,True,
334,2019-10-30 18:00:00+00:00,Argentinos Juniors v Talleres,Argentina Superliga,Soccer,False,True,
335,2019-10-30 18:00:00+00:00,Napoli v Atalanta,Italy Serie A,Soccer,False,True,
336,2019-10-30 18:00:00+00:00,Sociedad v Levante,Spain Primera Liga,Soccer,False,True,
337,2019-10-30 18:00:00+00:00,Valencia v Sevilla,Spain Primera Liga,Soccer,False,True,
338,2019-10-30 18:00:00+00:00,Wheeling Island. Win or Each Way,Wheeling Island,Greyhounds racing,False,True,
339,2019-10-30 18:00:00+00:00,Dundalk 1m Hcap,Dundalk,Horse Racing,False,True,
340,2019-10-30 18:00:00+00:00,Gulfstream Park West Win Each Way,Wolverhampton,Horse Racing,False,True,
341,2019-10-30 18:00:00+00:00,Edmund v Schwartzman,ATP Paris,Tennis,False,True,
342,2019-10-30 18:00:00+00:00,Paire/Verdasco v Bopanna/Shapovalov,ATP Paris,Tennis,False,True,
343,2019-10-30 18:00:00+00:00,Sarmiento v Rola,ATP Paris MD,Tennis,False,True,
344,2019-10-30 18:00:00+00:00,Soderlund v Daniel,ATP Paris MD,Tennis,False,True,
345,2019-10-30 18:02:00+00:00,Hove B5 490m,Other,Greyhounds racing,False,True,
346,2019-10-30 18:04:00+00:00,Finger Lakes R3 1m1f Claim,Finger Lakes,Horse Racing,False,True,
347,2019-10-30 18:06:00+00:00,Derby Lane. Win or Each Way,Derby Lane,Greyhounds racing,False,True,
348,2019-10-30 18:08:00+00:00,Palm Beach. Win or Each Way,Palm Beach,Greyhounds racing,False,True,
349,2019-10-30 18:08:00+00:00,Mahoning Valley Win Each Way,Mahoning Valley Win Each Way ,Horse Racing,False,True,
350,2019-10-30 18:09:00+00:00,Monmore A2 480m,Other,Greyhounds racing,False,True,
351,2019-10-30 18:10:00+00:00,Kempton 1m Hcap,Kempton,Horse Racing,False,True,
352,2019-10-30 18:11:00+00:00,BVue 30th Oct,Other,Greyhounds racing,False,True,
353,2019-10-30 18:12:00+00:00,San Isidro Win Each Way,Wolverhampton,Horse Racing,False,True,
354,2019-10-30 18:15:00+00:00,Limoges v Partizan Beograd,Euro Cup,Basketball,False,True,
355,2019-10-30 18:15:00+00:00,Wheeling Island. Win or Each Way,Wheeling Island,Greyhounds racing,False,True,
356,2019-10-30 18:19:00+00:00,Hove B1 490m,Other,Greyhounds racing,False,True,
357,2019-10-30 18:20:00+00:00,Wolverhampton 5f Sell Stks,Wolverhampton,Horse Racing,False,True,
358,2019-10-30 18:22:00+00:00,Derby Lane. Win or Each Way,Derby Lane,Greyhounds racing,False,True,
359,2019-10-30 18:22:00+00:00,Sund 30th Oct,Other,Greyhounds racing,False,True,
360,2019-10-30 18:22:00+00:00,Valparaiso Win Each Way,Valparaiso Win Each Way ,Horse Racing,False,True,
361,2019-10-30 18:25:00+00:00,Palm Beach. Win or Each Way,Palm Beach,Greyhounds racing,False,True,
362,2019-10-30 18:27:00+00:00,Doncaster A4 483m,Other,Greyhounds racing,False,True,
363,2019-10-30 18:30:00+00:00,Mura v Domzale,Turkey Cup,Soccer,False,True,
364,2019-10-30 18:30:00+00:00,Wheeling Island. Win or Each Way,Wheeling Island,Greyhounds racing,False,True,
365,2019-10-30 18:30:00+00:00,Dundalk 1m Hcap,Dundalk,Horse Racing,False,True,
